X,Y,OBJECTID,PNT_GIS_ID,NAME,ORG_NAME,CATEGORY,POSTAL_CODE,PHONE_NO,PHONE_EXT,MAIN_INTERSECTION,TYPE,SUBSIDIZED,CWELCC,PROVIDDISP,FULL_ADDRESS,UNIT_NUMBER,COMMUNITY,MUNICIPALITY
631794.3589,4859061.1615,28,40506,Upper Canada Child Care at Ashton Meadows PS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L6C 1T5,(905) 887-2539,,Woodbine Avenue & 16th Avenue,Centre Based Child Care,Yes,Yes,UPPER05,230 Calvert Road,,Markham,Markham
623749.531,4855420.5,29,265036,As-Sadiq Day Care,As-Sadiq Islamic Schools,Child Care Centre,L4J 8A7,(905) 695-1588,,Bathurst and Rutherford,Centre Based Child Care,Yes,Yes,AS-SA02,9000 Bathurst Street,,Thornhill,Vaughan
625947.7391,4878875.3416,30,341502,Atscott Pre-School Academy,Atscott Pre-School Academy Inc.,Child Care Centre,L3Y 9A2,(905) 953-5437,,Leslie Street & Davis Drive,Centre Based Child Care,No,No,ATSCO01,16945 Leslie Street,,Newmarket,Newmarket
623099.5334,4872732.1653,31,131539,Aurora YMCA Nursery School,YMCA of Greater Toronto,Child Care Centre,L4G 1R3,(905) 727-5189,,Yonge Street & Church Street,Centre Based Child Care,Yes,Yes,AUROR09,79 Victoria Street,,Aurora,Aurora
624547.9627,4872370.4091,32,259261,Aurora Grove Kids Club,York Professional Care & Education Inc.,Child Care Centre,L4G 6Z5,(905) 503-0260,,Bayview Ave /Stone Road,Centre Based Child Care,Yes,Yes,AUROR04,415 Stone Road,,Aurora,Aurora
616483.305,4851888.118,33,273369,Wee Watch - Aurora/King,Aurora Day Care Services Inc.,Child Care Centre,L4K 1Z8,(647) 933-1153,,Weston Road & Langstaff Road,Home Based  Child Care,Yes,Yes,WEE W08,"7250 Keele Street, ",Unit 387,Vaughan,Vaughan
622346.5828,4873447.089,34,258636,Aurora Heights YMCA School Age,YMCA of Greater Toronto,Child Care Centre,L4G 2X5,(905) 713-6767,,Yonge Street & Wellington Street,Centre Based Child Care,Yes,Yes,AUROR10,85 Tecumseh Drive,,Aurora,Aurora
623169.344,4874978.0,35,122017,Aurora Montessori School,Aurora Montessori School Inc.,Child Care Centre,L4G 4C3,(905) 841-0065 ,Ext.302,Industrial Parkway & St. John's Sideroad,Centre Based Child Care,No,No,AUROR18,330 Industrial Parkway North,,Aurora,Aurora
623474.8041,4873270.7703,36,126758,Aurora Early Learning Centre,2453221 Ontario Inc.,Child Care Centre,L4G 1K1,(905) 713-1122,,Yonge & Industrial Parkway,Centre Based Child Care,Yes,Yes,AUROR19,138 Centre Street,,Aurora,Aurora
637437.2092,4877885.6277,37,174145,Ballantrae Child Care Centre,Ballantrae Child Care Centre Inc.,Child Care Centre,L4A 7X4,(905) 640-2152,,Aurora Sideroad & Highway 48,Centre Based Child Care,Yes,Yes,BALLA04,5632 Aurora Road,,Stouffville,Whitchurch-Stouffville
642370.4053,4869928.1961,38,376966,Barbara Reid Child Care Centre,Friends of Mine Childcare,Child Care Centre,L4A 1S5,(905) 591-2231,,Hoover Park Drive & Tenth Line,Centre Based Child Care,Yes,Yes,BARBA01,130 Hoover Park Drive,,Stouffville,Whitchurch-Stouffville
630243.3706,4906668.3045,39,359242,Upper Canada Child Care at Sutton PS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L0E 1R0,(905) 722-9855,,Baseline Road & Dalton Road,Centre Based Child Care,Yes,Yes,UPPER06,5147 Baseline Road,,Sutton West,Georgina
626992.8083,4853886.6482,40,66086,Upper Canada Child Care at Baythorn PS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L3T 3V2,(905) 889-7436,,Yonge Street & John Street,Centre Based Child Care,Yes,Yes,UPPER07,201 Baythorn Drive,,Thornhill,Markham
628166.4419,4857883.0387,41,106845,Bayview Hill Child Care Centre,Family Day Care Services,Child Care Centre,L4B 2J5,(905) 508-7671,,Bayview Avenue & 16th Avenue,Centre Based Child Care,Yes,Yes,BAYVI03,81 Strathearn Avenue,,Richmond Hill,Richmond Hill
630026.8166,4852983.8749,42,34312,Bayview Fairways B & A School Program,Family Day Care Services,Child Care Centre,L3T 2Z6,(905) 881-3129,,John Street &  Bayview Fairways,Centre Based Child Care,Yes,Yes,BAYVI04,255 Bayview Fairways Drive,,Thornhill,Markham
629290.3473,4852086.3846,43,59634,Bayview Glen Before & After School Program,,Child Care Centre,L3T 2V5,(905) 265-7458,,Bayview Avenue/Limcombe,Centre Based Child Care,Yes,Yes,BAYVI06,42 Limcombe Drive,,Markham,Markham
630038,4856125,44,114797,Bayview Elite Learning Centre,Golden 88 Investments Ltd.,Child Care Centre,L4B 3B6,(905) 882-4809,,Leslie Street & Highway 7,Centre Based Child Care,Yes,Yes,BAYVI07,9011 Leslie Street ,Units 105,Richmond Hill,Richmond Hill
637071.75,4856108.0,45,42340,Beckenridge Discovery Preschool,Beckenridge Discovery Preschool Inc.,Child Care Centre,L3S 3K7,(905) 944-9200,,Brimley Avenue & 14th Avenue,Centre Based Child Care,Yes,Yes,BECKE01,4813 14th Avenue,,Markham,Markham
625782.4368,4862049.7975,46,86637,Bernard Junior Y,YMCA of Greater Toronto,Child Care Centre,L4S 1E1,(905) 884-6604,,Elgin Mills & Yonge Street,Centre Based Child Care,Yes,Yes,BERNA04,245 Bernard Avenue,,Richmond Hill,Richmond Hill
621825.8712,4873622.4322,47,159699,Best Friends,605061 Ontario Ltd,Child Care Centre,L4G 3Z4,(905) 552-0610 ,Ext.3,Wellington Street & Yonge Street,Centre Based Child Care,Yes,Yes,BEST 02,70 Devins Drive,,Aurora,Aurora
634525.313,4859020.5,48,55617,Between Friends,605061 Ontario Ltd,Child Care Centre,L3R 1Z9,(905) 475-3011,,Warden & Highway 7,Centre Based Child Care,Yes,Yes,BETWE02,120 Carlton Road,,Markham,Markham
625466.6984,4878324.5624,49,163091,Bev Bernier Child Care Centre,York Child Development and Family Services Inc.,Child Care Centre,L3Y 8H1,(905) 830-4425,,Mulock Drive & College Manor Drive,Centre Based Child Care,Yes,Yes,BEV B01,505 Pickering Crescent,,Newmarket,Newmarket
622742.2676,4863641.2179,50,375363,Beynon Fields Before and After School Program,Le Club Child Care Program,Child Care Centre,L4E 0R9,(905) 881-8585,,Jafferson Side Rd and Bathurst St,Centre Based Child Care,Yes,Yes,BEYNO01,258 Selwyn Road,,Richmond Hill,Richmond Hill
611166.25,4852261.0,51,132376,Bizzy Buddies II,Bizzy Buddies Learning & Childcare Centre Inc.,Child Care Centre,L4H 1M4,(905) 893-3400,,Rutherford Road & Islington Avenue,Centre Based Child Care,Yes,Yes,BIZZY03,75 Napa Valley Avenue  ,Unit #6,Woodbridge,Vaughan
618455.656,4855593.0,52,206198,Blessed Trinity School Age Program - B & A School,Community of Maple Child Care Services,Child Care Centre,L6A 2R2,(905) 832-4850,,Melville Road & Rutherford Road,Centre Based Child Care,Yes,Yes,BLESS02,230 Hawker Road,,Maple,Vaughan
634678.5361,4858184.0865,53,8227,Upper Canada Child Care at St. John XXIII CES,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L3R 1V8,(905) 477-3883,,Warden Avenue & Highway 7,Centre Based Child Care,Yes,Yes,UPPER45,125 Krieghoff Avenue,,Unionville,Markham
640045.705,4869296.645,54,366312,Blessed Chiara Badano B&A,,Child Care Centre,L4A 0Z6,(905) 471-8180,,Main Street & Ninth Line,Centre Based Child Care,Yes,No,BLESS03,751 Hoover Park Drive,,Stouffville,Whitchurch-Stouffville
631631.063,4858375.5,55,55878,Blooming Lives Montessori Inc.,Blooming Lives Montessori Inc,Child Care Centre,L3R 0K1,(416) 567-5423,,16th Avenue & Woodbine Avenue,Centre Based Child Care,No,No,BLOOM03,9201 Woodbine Avenue,,Markham,Markham
622630.688,4868545.5,56,73468,Bloomfield Junior Academy Montessori School,2287634 ONTARIO LIMITED,Child Care Centre,L4E 2H8,(289) 234-7711,,Yonge Street & Bloomington,Centre Based Child Care,Yes,Yes,BLOOM04,2 Bloomfield Trail ,Unit 1-2,Richmond Hill,Richmond Hill
635483.8151,4859315.1395,57,41316,Blossoms,605061 Ontario Ltd,Child Care Centre,L3R 2H2,(905) 470-1822,,Kennedy Road & 16th Avenue,Centre Based Child Care,Yes,Yes,BLOSS02,300 Main Street,,Unionville,Markham
616031.125,4849807.499,58,125702,Blue Willow Before & After School Program,Le Club Child Care Program,Child Care Centre,L4L 9E1,(905) 881-8585,,Weston Road & Highway 7,Centre Based Child Care,Yes,Yes,BLUE 03,250 Blue Willow Drive,,Woodbridge,Vaughan
625127.2244,4878434.9844,59,167817,Bogart Child Care Centre,York Child Development and Family Services Inc.,Child Care Centre,L3Y 8G7,(905) 830-5052,,Mulock Drive/College Manor,Centre Based Child Care,Yes,Yes,BOGAR03,855 College Manor Drive,,Newmarket,Newmarket
623205.312,4878831.75,60,126453,Botsford Academy,Botsford Day Care Centre Inc.,Child Care Centre,L3Y 1S7,(905) 853-3300,,Lorne and Botsford,Centre Based Child Care,Yes,Yes,BOTSF03,373 Botsford Street,,Newmarket,Newmarket
641092.1996,4857300.7469,61,32538,Boxwood School Age Program,Family Day Care Services,Child Care Centre,L3S 3P7,(905) 305-8974 ,Ext.234,14th Avenue & Markham Road,Centre Based Child Care,Yes,Yes,BOXWO01,30 Boxwood Crescent,,Markham,Markham
637670.9716,4854264.8821,62,50437,Brimley-Steeles Montessori School,2508066 Ontario Inc.,Child Care Centre,L3R 7B4,(647) 996-9619,,,Centre Based Child Care,Yes,Yes,BRIML03,5000 Steeles Avenue East,,Markham,Markham
623769.1628,4851437.3134,63,215612,Brownridge Junior Y,YMCA of Greater Toronto,Child Care Centre,L4J 7R8,(905) 660-6676,,Bathurst Street & Clark Street,Centre Based Child Care,Yes,Yes,BROWN03,65 Brownridge Drive,,Thornhill,Vaughan
630059.8549,4896972.2759,64,248493,EarlyON Brown Hill Tract Mobile,,EarlyON Program,L0G 1M0,(905) 830-1888,,Ravenshoe Road and McCowen Road,Centre Based Child Care,No,No,EARL125,4389 Ravenshoe Road,,East Gwillimbury,East Gwillimbury
624372.1001,4852792.2164,65,262487,Upper Canada Child Care at Westmount CI,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L4J 8G3,(905) 882-9551,,Bathurst Street/Centre,Centre Based Child Care,Yes,Yes,UPPER08,1000 New Westminster Drive Suite 101,,Thornhill,Vaughan
632163.813,4858162.25,66,20229,Upper Canada Child Care at Buttonville PS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L3R 9C2,(905) 946-1216,,Woodbine Avenue & 16th Avenue,Centre Based Child Care,Yes,Yes,UPPER09,141 John Button Boulevard,,Markham,Markham
622207.438,4880033.0,67,193595,Upper Canada Child Care at Canadian Martyrs CES,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L3Y 6R5,(905) 836-9078,,Yonge Street & Davis Drive,Centre Based Child Care,Yes,Yes,UPPER10,170 London Road,,Newmarket,Newmarket
622340.729,4859356.366,68,337000,Carnegie Child Care Centre,Kids Connection Care & Education,Child Care Centre,L6A 0G1,(905) 879-6006,,Bathurst Street & Teston Road,Centre Based Child Care,Yes,Yes,CARNE02,575 Via Romano Boulevard,,Vaughan,Vaughan
636221.6443,4861889.4998,69,8111,Castlemore School Age Program,YMCA of Greater Toronto,Child Care Centre,L6C 2R5,(416) 418-6606,,Major Mackenzie Drive & Kennedy Road,Centre Based Child Care,Yes,Yes,CASTL03,256 Ridge Crest Road,,Markham,Markham
603730.7769,4861706.8857,70,135584,Cedar Glen YMCA Child Care,YMCA of Greater Toronto,Child Care Centre,L0G 1T0,(905) 859-9622 ,Ext.300,King Side Road & 11th Concession,Centre Based Child Care,Yes,Yes,CEDAR02,13300 11th Concession,,Schomberg,King
626838.0205,4861518.855,71,88837,LoveView Early Learning Centre,TET Management Inc.,Child Care Centre,L4S 1M7,(905) 237-3808,,Bayview Avenue & Elgin Mills Road,Centre Based Child Care,Yes,Yes,LOVEV01,119-10856 Bayview Avenue,,Richmond Hill,Richmond Hill
616708.719,4850804.0,72,120120,Centered On Children Child Care Centre,Centered on Children Child Care Centre,Child Care Centre,L4L 0J6,(905) 856-5437,,Highway 7 & Weston Road,Centre Based Child Care,Yes,Yes,CENTE02,8201 Weston Road,,Woodbridge,Vaughan
637211.1788,4859967.541,73,61846,Central Park Child Care Centre,YMCA of Greater Toronto,Child Care Centre,L3P 7G2,(905) 940-3274,,16th Avenue & McCowan Road,Centre Based Child Care,Yes,Yes,CENTR01,100 Central Park Drive,,Markham,Markham
626907.625,4850714.75,74,241117,Central Montessori School of Thornhill,Central Montessori Thornhill Campus & Private School Inc.,Child Care Centre,L4J 1A1,(905) 889-0012,,Yonge Street & Steeles Avenue,Centre Based Child Care,Yes,Yes,CENTR03,72 Steeles Avenue West,,Thornhill,Vaughan
623862.2694,4867425.66,75,76912,Centre Educatif de L'AFRY Campus Richmond Hill,Association des francophones de la region de York Inc,Child Care Centre,L4E 2T2,(289) 552-5200,,Yonge Street & Regatta,Centre Based Child Care,Yes,Yes,CENTR04,13200 Yonge Street,,Richmond Hill,Richmond Hill
625062.1155,4861977.1216,76,86743,Century Private School,9238689 Canada Corporation,Child Care Centre,L4S 1L6,(905) 737-1160,,Yonge Street & Elgin Mills Road,Centre Based Child Care,Yes,No,CENTU05,11181 Yonge Street,,Richmond Hill,Richmond Hill
631674.0526,4858227.2459,77,67258,Chapel Place Daycare Centre,Chapel Place Daycare Centre,Child Care Centre,L3R 9C4,(905) 946-8307,,Woodbine Avenue & 16th Avenue,Centre Based Child Care,Yes,Yes,CHAPE03,8 Chapel Place,,Markham,Markham
623546.3111,4850389.9917,78,173094,Charlton First Base Centre,YMCA of Greater Toronto,Child Care Centre,L4J 6J5,(905) 482-2247,,Dufferin Street & Steeles Avenue,Centre Based Child Care,Yes,Yes,CHARL03,121 Joseph Aaron Boulevard,,Thornhill,Vaughan
628943.052,4862040.012,79,329506,Childventures Early Learning Academy-Richmond Hill,Childventures Early Learning Academy Inc.,Child Care Centre,L4S 0B2,(905) 737-5505,,Leslie Street & Elgin Mills,Centre Based Child Care,Yes,Yes,CHILD14,,Unit 6-10775 Leslie Street,Richmond Hill,Richmond Hill
623662.0904,4856156.716,80,364062,Childventures Early Learning Academy - Vaughan,Childventures Early Learning Academy Inc.,Child Care Centre,L6A 4N9,(905) 303-5090,,Bathurst Street & Rutherford Road,Centre Based Child Care,Yes,Yes,CHILD15,9306 Bathurst Street Building 1 ,Unit 201,Maple,Vaughan
627645.4821,4873891.2103,81,383649,Childventures Early Learning Academy Aurora,Childventures Early Learning Academy Inc.,Child Care Centre,L4G 0Z6,(905) 841-2680,,Wellington Street E & Leslie Street,Centre Based Child Care,Yes,Yes,CHILD18,95 Eric T Smith Way ,Unit 5,Aurora,Aurora
628549.5714,4861156.1019,82,90351,Christians Day Care Centre,Among Friends Day Care Centre,Child Care Centre,L4S 2H1,(905) 552-0610 ,Ext.3,Leslie Street & Elgin Mills Road,Centre Based Child Care,Yes,Yes,CHRIS08,275 Redstone Road,,Richmond Hill,Richmond Hill
640113.813,4869683.25,83,183551,Christ Church Child Care Centre,Christ Church Child Care Centre,Child Care Centre,L4A 3R1,(905) 640-8642,,Main Street & Ninth Line,Centre Based Child Care,Yes,Yes,CHRIS03,254 Sunset Boulevard,,Stouffville,Whitchurch-Stouffville
628866.063,4857224.25,84,109445,Christ The King Child Care Centre,Kids Connection Care & Education,Child Care Centre,L4B 2E1,(905) 771-6247,,16th Avenue & Leslie Street,Centre Based Child Care,Yes,Yes,CHRIS06,329 Valleymede Drive,,Richmond Hill,Richmond Hill
628827.6109,4856829.3329,85,110971,Circle of Friends Daycare Centre,605061 Ontario Ltd,Child Care Centre,L4B 2B1,(905) 882-4840,,Leslie & 16th Avenue,Centre Based Child Care,Yes,Yes,CIRCL04,124 Blackmore Avenue,,Richmond Hill,Richmond Hill
619950.6394,4856925.2278,86,340142,City of Vaughan Recreation Program,The Corporation of the City of Vaughan,Child Care Centre,L6A 1T1,(905) 832-8540 ,Ext.7659,Keele Street & Major Mackenzie Drive East,Centre Based Child Care,Yes,No,CITY 10,2141 Major Mackenzie Drive,,Vaughan,Vaughan
621168.5143,4877079.4741,87,266307,Upper Canada Child Care at Clearmeadow PS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L3X 2E4,(905) 953-7812,,Bathurst Street & Mulock Drive,Centre Based Child Care,Yes,Yes,UPPER11,200 Clearmeadow Boulevard,,Newmarket,Newmarket
633079.3056,4858158.0212,88,54143,Coledale Junior Y,YMCA of Greater Toronto,Child Care Centre,L3R 7W8,(905) 940-3275,,Warden Avenue & 16th Avenue,Centre Based Child Care,Yes,Yes,COLED02,60 Coledale Road,,Unionville,Markham
641747.3774,4861289.11,89,48551,Upper Canada Child Care at Cornell Village PS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L6B 1B5,(905) 472-1344,,16th Avenue & 9th Line,Centre Based Child Care,Yes,Yes,UPPER12,186 Country Glen Road,,Markham,Markham
625489.909,4861659.267,90,88053,Corpus Christi Day Care Centre,Among Friends Day Care Centre,Child Care Centre,L4S 1C6,(905) 552-0610 ,Ext.3,Yonge Street & 19th,Centre Based Child Care,Yes,Yes,CORPU03,35 Squire Drive,,Richmond Hill,Richmond Hill
623185.6476,4850483.1549,91,189601,Upper Canada Child Care at Hodan Nalayeh SS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L4J 7R4,(905) 660-5152,,Dufferin Street/Centre,Centre Based Child Care,Yes,Yes,UPPER13,1401 Clark Avenue West,,Thornhill,Vaughan
636478.3108,4876807.2293,92,207089,Country Casa Montessori and Daycare,Country Casa Montessori and Daycare Ltd.,Child Care Centre,L4A 7X3,(905) 640-5437 ,Ext.100,Highway 48 & Aurora Sideroad,Centre Based Child Care,Yes,Yes,COUNT02,15018 Highway 48,,Stouffville,Whitchurch-Stouffville
608089.75,4861814.25,93,246835,Country Kids Nobleton Inc.,Country Kids Nobleton Inc.,Child Care Centre,L0G 1N0,(905) 859-3672,,Highway 27 & King Road,Centre Based Child Care,Yes,Yes,COUNT04,6045 King Road West,,Nobleton,King
619856.122,4854651.7657,94,177306,Cozy Time,2489194 Ontario Ltd.,Child Care Centre,L4K 5A3,(416) 602-3811,,Keele Street & Rutherford Road,Centre Based Child Care,Yes,Yes,COZY 01,9222 Keele Street Building B West,,Vaughan,Vaughan
626454.063,4860267.5,95,95273,Crosby YMCA School Age,YMCA of Greater Toronto,Child Care Centre,L4C 3K8,(416) 457-9979,,Yonge Street & Bayview Avenue,Centre Based Child Care,Yes,Yes,CROSB03,190 Neal Drive,,Richmond Hill,Richmond Hill
620803.2184,4877763.7352,96,174606,Crossland Child Care Centre,York Child Development and Family Services Inc.,Child Care Centre,L3Y 1H8,(905) 898-0545,,Eagle Street/Crossland Gate,Centre Based Child Care,Yes,Yes,CROSS01,255 Brimson Drive,,Newmarket,Newmarket
622336.7857,4876948.3876,97,223764,Cuties and Patooties,10018511 Canada Corp.,Child Care Centre,L3X 1V6,(905) 252-7833,,Yonge Street & Mulock Drive,Centre Based Child Care,Yes,Yes,CUTIE01,16655 Yonge Street ,Unit 33,Newmarket,Newmarket
621258.3818,4879761.0863,98,307721,Cutie Pie Daycare & Child Development Centre,1970238 Ontario Ltd.,Child Care Centre,L3X 3C7,(905) 235-8877,,Yonge Street and Davis Drive,Centre Based Child Care,Yes,Yes,CUTIE03,199 Matthew Boyd Crescent,,Newmarket,Newmarket
622336.7857,4876948.3876,99,223764,"Kidz ""R"" Us Daycare",5001228 Ontario Inc.,Child Care Centre,L3X 1V6,(905) 235-8652,,Yonge Street and Mulock Street,Centre Based Child Care,Yes,Yes,KIDZ 05,"16655 Yonge Street, ",Unit 3,Newmarket,Newmarket
618240.1083,4884308.8835,100,126256,Cuties and Patooties King,10018511 Canada Corp.,Child Care Centre,L3Y 4V9,(289) 554-9775,,Graham Sideroad & Bathurst Street,Centre Based Child Care,Yes,Yes,CUTIE04,845 Graham Sideroad,,Newmarket,Newmarket
